"filename", "language", "JSON", "TypeScript", "CSS", "TypeScript React", "Markdown", "HTML", "comment", "blank", "total"
"d:\csharp\Faketory\faketory-app\src\States\devices\userSensors\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\csharp\Faketory\faketory-app\src\States\index.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 2, 43
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\conveyorToModify\actions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\conveyorToModify\reducers.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\conveyorToModify\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\palletToModify\actions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\palletToModify\reducers.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\palletToModify\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\sensorToModify\actions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\sensorToModify\reducers.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\csharp\Faketory\faketory-app\src\States\menuBar\deviceToModify\sensorToModify\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\csharp\Faketory\faketory-app\src\States\menuBar\openedDevicesSubtab\actions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\csharp\Faketory\faketory-app\src\States\menuBar\openedDevicesSubtab\reducers.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\csharp\Faketory\faketory-app\src\States\menuBar\openedDevicesSubtab\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\csharp\Faketory\faketory-app\src\States\menuBar\openedTab\actions.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\csharp\Faketory\faketory-app\src\States\menuBar\openedTab\reducers.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\csharp\Faketory\faketory-app\src\States\menuBar\openedTab\types.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\csharp\Faketory\faketory-app\src\States\userAccount\actions.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\csharp\Faketory\faketory-app\src\States\userAccount\reducers.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\csharp\Faketory\faketory-app\src\States\userAccount\types.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 4, 20
"d:\csharp\Faketory\faketory-app\src\States\userSlots\actions.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\csharp\Faketory\faketory-app\src\States\userSlots\reducers.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\csharp\Faketory\faketory-app\src\States\userSlots\types.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\csharp\Faketory\faketory-app\src\index.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\csharp\Faketory\faketory-app\src\index.tsx", "TypeScript React", 0, 0, 0, 19, 0, 0, 3, 4, 26
"d:\csharp\Faketory\faketory-app\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\csharp\Faketory\faketory-app\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\csharp\Faketory\faketory-app\tsconfig.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 16741, 664, 102, 1496, 26, 20, 31, 463, 19543
